EntryID	taxonomyID
Q8IXT2	9606
Q04418	559292
A8DYA3	7227
Q9UUI3	284812
Q57ZS4	185431
P17571	4577
Q9JMA2	10090
Q8R2Z3	10090
Q8IZR5	9606
P04014	10580
Q387U0	185431
O43747	9606
Q06496	10116
H7C6V6	226185
F4J5N9	3702
Q580W3	185431
Q6PFR5	10090
Q7ZT12	7998
P40750	224308
O62531	7227
Q02375	9913
Q90264	7955
Q38BM5	185431
Q8SXA8	7227
G5EE70	6239
Q3UPK1	10090
P28331	9606
Q2GIQ1	212042
Q93AM0	1509
P40031	559292
Q9JM54	10090
G3XD35	208964
A2QYG9	425011
E9PI18	9606
P11206	11177
Q17868	6239
Q10F03	39947
Q96IL0	9606
Q21966	6239
Q9A9T8	190650
A1Z840	7227
Q05595	99287
B1AMW7	9606
Q9M647	3702
Q03370	559292
P38285	559292
Q91Z96	10090
Q57ZA0	185431
Q8CF25	10090
Q9WUC4	10116
Q6DBW0	7955
Q07627	9606
Q6ZVW3	9606
P30041	9606
P9WLA1	83332
Q9Y0Y5	7227
Q9ZT16	3702
A0A0S2Z5V5	9606
Q9H0R8	9606
P11217	9606
Q5LJQ4	7227
P0C342	39946
Q6P6T4	10116
P54144	3702
O96378	7227
P94844	85962
Q53FM2	9606
B3DGP8	7955
I7LW01	312017
Q38BK3	185431
Q9P6N3	284812
Q9CA57	3702
O43679	9606
Q9VJU5	7227
Q7TSC3	10090
Q99189	559292
F8W4G8	7955
Q9VEX1	7227
Q94527	7227
Q6NX06	7955
A0A0G2K850	10116
P05511	284812
Q9ABT0	190650
Q8HCN4	39947
Q8BVZ1	10090
Q2XU92	10090
Q86B77	7227
A1L252	7955
Q99L04	10090
Q14626	9606
Q92266	4922
Q9UYD1	272844
Q13287	9606
A0A2R8YGX0	9606
O42254	9031
O09105	10090
C9JQU7	9606
Q6MZP7	9606
E9Q7M2	10090
F4I5D5	3702
Q9SUV1	3702
O08700	10116
A0A0B4LHR2	7227
Q6DRJ8	7955
Q7JMQ6	6239
Q9Z0M1	10090
Q9N3Q4	6239
Q9V3N8	7227
O04573	3702
Q9W2X7	7227
P40855	9606
P98131	9913
Q9ZQW0	4577
O96539	7227
C8V7L2	227321
Q8VYS9	3702
O35795	10116
Q6X4A1	10090
Q8N661	9606
P26647	83333
P40565	559292
H7C5E4	9606
Q0WPF2	3702
Q9Z0I9	10090
Q9UKY0	9606
P45475	83333
P51427	3702
Q05941	10116
Q12117	559292
P45879	9913
Q8VYE2	3702
Q99720	9606
Q86XP1	9606
D2D0C0	7955
Q57ZD2	185431
P07828	44689
P18886	10116
Q584L0	185431
Q64692	10090
X6R4A7	9606
Q24326	7227
Q9CAM1	3702
Q94A08	3702
Q9FGQ9	3702
Q9LUS6	3702
Q63087	10116
Q6AY25	10116
A0A087WZG8	9606
Q8LF21	3702
P36101	559292
Q5NV69	9606
A0A024RCB9	9606
P07711	9606
Q9WUV6	10116
A0A1D8PCV0	237561
Q9NHF0	7227
P97823	10090
H6ULX1	9031
F4K3F4	3702
Q06104	559292
P0C216	195102
Q53EU6	9606
Q9C8J7	3702
Q9SUI6	3702
E9QFB2	7955
A0A6I8PRV1	9606
A1YK36	7227
B7Z0K2	7227
Q62884	10116
C6KSN5	36329
Q54JT7	44689
P56971	59729
Q9VU15	7227
A2BG85	7955
Q6PSS4	7955
Q9M314	3702
E9R598	330879
Q9FKM2	3702
Q95U83	7227
Q9LY50	3702
F1QUP2	7955
P41000	284812
O53281	83332
Q6AXL4	7955
Q9BZI7	9606
G3UYY0	10090
Q8VYN9	3702
P68467	10249
Q64368	10090
P53335	559292
Q58EN3	7955
Q10085	284812
A0A0D9SF54	9606
Q9SKP2	3702
Q502K2	7955
Q8IYF3	9606
Q03942	559292
Q9BXY0	9606
A0A1D8PJ31	237561
Q57Z07	185431
L8E946	6239
Q5EBL8	9606
Q9QY05	10090
P11373	474922
Q62137	10090
Q9ESD1	10090
Q9UPN7	9606
P28222	9606
Q9C8K2	3702
P70668	10116
Q9H8V3	9606
P33891	559292
A0A0A0MQW1	9606
P39683	559292
P76090	83333
P35577	10116
Q8CFA7	10090
Q5UCC4	9606
E9JFX9	121290
Q1MSJ5	9606
A1C3M0	1318
D2Y5Q2	7955
A2A2V1	9606
Q9VUF8	7227
Q9HZL6	208964
P91124	6239
Q55DL5	44689
O81027	3702
P05744	559292
A0A343URW6	4058
Q59IW8	10090
Q8RWN7	3702
P50077	559292
P9WHT1	83332
Q8BH04	10090
C9JYB8	9606
Q60787	10090
P0DD38	198466
Q8UUX0	7955
Q8III2	36329
Q38EY4	185431
Q9HBI6	9606
F2Z2I2	9606
H2KYA4	6239
A0A192EZE4	1862327
Q06541	559292
Q72AV5	882
Q5W0B1	9606
Q3EC77	3702
C9JRZ8	9606
B8A6E7	7955
Q15007	9606
Q5XJA3	7955
Q6MG72	10116
Q6RSH7	9606
M9PEJ8	7227
P55850	10090
P63027	9606
Q15746	9606
Q583J9	185431
P0DJ43	66188
A0A0A0MS29	9606
Q9Z7J9	83558
Q675L0	3329
Q9SRB0	3702
Q12519	284812
Q5M7U6	10116
Q9W149	7227
Q580H3	185431
Q6A332	3702
O95476	9606
Q86SS6	9606
Q5EG05	9606
E5RFP0	9606
C7BUR8	1280
Q9VF10	7227
O14359	284812
Q9LZB8	3702
C0LGG7	3702
Q4TTV4	7955
Q12064	559292
A0A0A0MRW6	9606
Q2W8S0	342108
A0A1D8PLF1	237561
Q2LD83	562
O24766	511
L0R6P0	9606
A0A2R8Q385	7955
Q7KU86	7227
Q4V9J5	7955
O13878	284812
Q05AH6	10090
A0A0B4LH20	7227
Q80Y50	10090
O88828	10116
Q5AS72	227321
P21238	3702
Q9ULL4	9606
Q9BSQ5	9606
P14893	9913
Q6AWH4	7227
E5KN95	9606
A0A2R8QEH1	7955
P78543	9606
Q8BPK2	10090
Q9LYK2	3702
Q8BFV4	10090
Q61151	10090
C0LU16	3702
Q7WWK0	1318
O96382	39466
Q38AJ6	185431
O45502	6239
Q08822	559292
Q7T251	7955
Q5AMT2	237561
Q6DGA8	7955
Q8C1F4	10090
Q9H9A5	9606
E5KS15	9606
Q8IDR4	36329
P0A898	83333
Q57Y49	185431
Q9BXF6	9606
Q27081	6853
Q8W405	34254
A0A021WW32	7227
Q9FFQ5	3702
F8W2I5	7955
Q9FIS2	3702
O81757	3702
Q385D3	185431
P01742	9606
Q8BY89	10090
Q9DD06	10090
B3EWH9	8626
P62820	9606
Q381P9	185431
F1PZQ5	9615
P07998	9606
P77973	1111708
Q08C84	7955
P26686	7227
Q9HTH8	208964
Q5U3M8	7955
D3ZUQ0	10116
P02706	10116
H0YK48	9606
P11686	9606
F4IBS8	3702
Q61136	10090
A2QD49	425011
P49227	3702
Q8UZ11	33703
Q0VAV2	10090
Q7K740	36329
P01579	9606
F8W785	9606
O42968	284812
O14197	284812
P9WHP1	83332
Q494I2	7227
P39706	559292
P39749	10090
F7IVA8	246200
D4YW53	6239
Q8DIS5	197221
P0DM63	9606
P30149	83333
Q8TBB6	9606
Q13886	9606
Q9LK48	3702
P0ACF0	83333
