ID	Species
9606	homo sapiens[All Names]
10090	mus musculus[All Names]
10116	Rattus norvegicus
3702	Arabidopsis thaliana[All Names]
83333	Escherichia coli K-12[all names]
7227	Drosophila melanogaster[All Names]
287	Pseudomonas aeruginosa[All Names]
4896	Schizosaccharomyces pombe
7955	Danio rerio[All Names]
44689	Dictyostelium discoideum[All Names]
243273	Mycoplasma genitalium ATCC 33530
6239	Caenorhabditis elegans[All Names]
226900	Bacillus cereus ATCC 14579
4577	Zea Mays [All names]
9823	Sus scrofa 
8355	Xenopus laevis
85962	Helicobacter pylori 26695
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
160488	Pseudomonas putida KT2440
170187	Streptococcus pneumoniae TIGR4
223283	Pseudomonas syringae pv. tomato str. DC3000
224308	Bacillus subtilis subsp. subtilis str. 168
237561	Candida albicans SC5314
243232	Methanocaldococcus jannaschii DSM 2661
321314	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67
10172	Bathyergus suillus (Schreber, 1782) [common mole rat]
1072389	Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1 [ascomycete fungi]
1094619	Phytophthora sojae strain P6497 [downy mildew]
126793	Plasmodium vivax Sal-1
186763	Plasmodium falciparum FcB1/Columbia
229533	Fusarium graminearum PH-1 [ascomycete fungi]
235443	Cryptococcus neoformans var. grubii H99 [basidiomycete fungi]
2587412	Podospora anserina (Rabenh.) Niessl, 1883 [ascomycete fungi]
27300	Schwanniomyces occidentalis Klo¨cker, 1909 [budding yeasts]
284812	Schizosaccharomyces pombe 972h-
294381	Entamoeba histolytica HM-1:IMSS
3197	Marchantia polymorpha [liverwort]
3218	Physcomitrium patens [moses]
36329	Plasmodium falciparum 3D7
39947	Oryza sativa Japonica Group
426428	Fusarium oxysporum f. sp. lycopersici 4287 [ascomycete fungi]
48703	Podospora comata [ascomycete fungi]
498257	Verticillium dahliae VdLs.17 [ascomycete fungi]
508771	Toxoplasma gondii ME49
515849	Podospora anserina S mat+
5823	Plasmodium berghei ANKA
6253	Ascaris suum [pig roundworm]
7159	Aedes aegypti
7460	Apis mellifera [honey bee]
7962	Cyprinus carpio [common carp)
8090	Oryzias latipes [Japanese medaka]
83332	Mycobacterium tuberculosis H37Rv
8364	Xenopus tropicalis (tropical clawed frog)
9031	Gallus gallus (chicken)
9541	Macaca fascicularis (crab-eating macaque)
9555	Papio anubis (olive baboon)
9601	Pongo abelii (Sumatran orangutan)
9615	Canis lupus familiaris (dog)
981087	Leishmania donovani BPK282A1
9913	Bos taurus (cattle)
100989	Tropidechis carinatus (snake)
111177	Oxyuranus microlepidotus (snake)
120305	Philodryas olfersii (snake)
186611	Thrasops jacksonii (black tree snake)
193080	Rhabdophis tigrinus tigrinus (snakes)
196418	Hoplocephalus stephensii (snakes)
227321	Aspergillus nidulans FGSC A4 (ascomycete fungi)
271848	Burkholderia thailandensis E264
284591	Yarrowia lipolytica CLIB122 (budding yeast)
284592	Debaryomyces hansenii CBS767 (budding yeast)
284811	Eremothecium gossypii ATCC 10895 (budding yeast)
28985	Kluyveromyces lactis (budding yeast)
29156	Austrelaps superbus (snakes)
292442	Cryptophis nigrescens (snakes)
330879	Aspergillus fumigatus Af293 (ascomycete fungi)
338838	Erythrolamprus poecilogyrus (snakes)
338839	Pseudoferania polylepis (water snake)
367110	Neurospora crassa OR74A (ascomycete fungi)
412038	Demansia vestigiata (black whip snake)
5478	Nakaseomyces glabratus (budding yeast)
660122	Fusarium vanettenii 77-13-4 (budding yeast)
70142	Notechis scutatus scutatus(snakes)
749593	Epicoccum sorghinum (ascomycete fungi)
8654	Naja nigricollis (spitting cobra)
8670	Oxyuranus scutellatus scutellatus (snakes)
8671	Pseudechis porphyriacus (snakes)
8673	Pseudonaja textilis (snakes)
930089	Bipolaris zeicola 26-R-13 (ascomycetes fungi)
559292	Saccharomyces cerevisiae S288C (budding yeast)
38281	Heteractis magnifica
